Portable Can Opener,"5,239,757",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&s2=%22one+handed%22&OS=TTL/
Single Hand Can Opener,"4,860,455",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=4&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&s2=%22Single+Hand%22&OS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22&RS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22
Electric Can Opener,"8,312,633",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&s2=%22Single+Hand%22&OS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22&RS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22
Can Opener,"5,291,658",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=3&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&s2=%22Single+Hand%22&OS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22&RS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22
Power Assist Can Opener,"9,604,833",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=7&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Manual Can Opener,"D801,142",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=3&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Paint Brush And Can Opener,"D774,311",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=9&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Electric Can Opener and Method,"8,371,033",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=31&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Electric Can Opener with Removeable Tools,"8,079,152",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=33&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Opener with Scoop,"D609,986",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=40&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Opener Mechanism,"7,574,808",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=47&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Mini Can Opener,"D594,301",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=48&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Folding knife With tobacco can opener,"9,737,999",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=5&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Bottle and Can opener,"D805,864",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=2&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Beverage Can Opener,"D771,451",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=11&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Opener Extension Fixture,"D755,597",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=13&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Opener Press and Lid Remover,"7,926,137",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=37&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Combined Can Opener and Opening Tool,"D605,915",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=42&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Bottle and can Opener Arrangement,"7,614,321",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=44&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Tear Top Can opener,"D487,218",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=98&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Opener with Two Levers Connected,"6,691,419",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=99&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Beverage Can Opener,"D488,969",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=96&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Pop Top Can Opener,"8,695,457",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=25&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Easy Can Opener,"D572,098",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=53&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Pop pry and Peel Can Opener,"7,363,837",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=57&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Toucan Can Opener,"D560,454",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=61&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Power Can Opener,"D561,547",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=60&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Battery Can Opener,"7,213,340",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=66&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Direct Drive Can Opener,"D538,118",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=68&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Beverage Bottle And Can Opener,"6,957,599",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=80&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Electromotive Can Opener,"6,886,260",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=82&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Safety Can Opener,"D501,772",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=83&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Single Handle Can Opener,"6,829,832",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=87&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Beverage Bottle And Can Opener,"D498,997",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=88&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
PaintBrush and Can Opener,"6,823,553",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=89&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Automatic Can Opener,"6,739,061",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=93&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Bottle and Can Opener Arrangement,"7,614,321",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=44&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Lid Lifter for Opener,"6,671,970",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=101&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Battery Operated Can Opener,"6,516,524",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=106&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Ergonomic Can Opener,"6,510,613",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=107&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Electric Can Opener,"6,505,405",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=109&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Key Chain Bottle Top And Can Opener,"D465,979",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=111&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Opener,"D460,330",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=113&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Household Can Opener,"D459,962",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=114&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Handheld Can Opener,"6,374,502",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=118&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Under Cabinet Can Opener,"D452,803",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=124&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Flip Top Can Opener,"6,311,580",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=126&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Electric Can Opener With Horizontal Blade,"6,298,563",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=127&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Key Chain bottle top and Tab,"D447,675",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=128&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Opener with Side cutting Mechanism,"6,189,221",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=137&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Opener Appliance,"D435,767",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=140&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Industrial Can Opener,"6,158,130",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=141&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Flip Top Can Opener,"D432,377",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=144&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
HACCP Can Opener,"6,108,917",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=147&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Special Can Opener,"6,101,720",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=149&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can Opener With Rotating Bottom Support,"6,098,293",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=150&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Outer seam wall can opener,"6,094,828",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=151&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener with a lid magnet,"6,088,921",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=153&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"6,058,613",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=154&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
